SourceShortCode,Type,SourceLink,Shortcode,Username,Profile ID,Media Type,Video View Count,Likes,Comments,Date created,Caption,URL,MatchTerm
,Comment,,,g20org,3643090589288967,links,0,1,0,2024-09-12T04:57:29-07:00,🔥Incêndios florestais pioram em todo mundo 🔥    🌎 As mudanças climáticas e o aumento da temperatura da Terra têm influenciado essa realidade.    👩🏻‍🚒👨🏾‍🚒 🚒 O presidente Lula anunciou a criação de uma Autoridade Climática e de um Comitê Técnico-Científico. Ele parabenizou pessoas que têm sido voluntárias no combate aos incêndios. Leia a matéria.    https://links.g20.org/3znDyLS,,
,Comment,,,Zero14.net,824503616466231,albums,841,0,0,2024-09-12T04:56:22-07:00,O Negras Narrativas apresenta a atividade AFROFUTURISMO E CORPOREIDADE com duas vivências: PASSINHO (11/9) e BAILE BLACK (12/9). As duas atividades são gratuitas e acontecem na Convivência do <redacted_mention> com orientação do <redacted_mention>.    PASSINHO  Ao ritmo do funk  gênero musical derivado de uma cultura negra e periférica  o público é convidado a três momentos: conhecer o histórico dessa manifestação  ensaiar o passinho (dança já aclamada nacional e internacionalmente) e  por fim  se jogar num baile onde a expressão corporal marcada pelos movimentos ágeis de pernas  quadris e sorrisos ensina e liberta. A ideia é ninguém ficar parado!  🕗 Quarta  11 de setembro | 18h30 às 21h30  🎫 Convivência. GRÁTIS.  Indicado para maiores de 12 anos.    BAILE BLACK   A mistura dançante de soul  jazz e rhytm and blues balança as pistas desde a década de 1960  na diáspora afro-americana e brasileira também. Os bailes black foram e ainda são locais de expressão e resistência das comunidades negras com suas músicas e sua dança. Aqui  o público tem a oportunidade de vivenciar um baile com passos marcados  interação e a alegria tão presentes nesses contextos.  🕗 Quinta  12 de setembro | 18h30 às 21h30  🎫 Convivência. GRÁTIS.  Indicado para maiores de 12 anos.    #dança #negrasnarrativas #passinho #baileblack,,
,Comment,,,conceicaonoticias,1018957169657729,videos,2979,50,10,2024-09-12T04:55:39-07:00,💧ATENÇÃO💧    👉 Veja este recado do Diretor do DMAE  Guilherme Gava  sobre  a crise climática e hídrica e como afeta o abastecimento de água na nossa região. 👈    Economize água❗️,,
,Comment,,,abelhaorg,965112938430765,photos,776,8,0,2024-09-12T04:55:00-07:00,O Observatório das Abelhas do Brasil  iniciativa que tem o apoio da A.B.E.L.H.A.  entregou nesta semana ao Ministério Público do Rio Grande do Sul um relatório com os resultados do mapeamento das perdas de colmeias após o desastre climático de maio no Estado.    O levantamento foi realizado pelas equipes do Observatório após as enchentes que atingiram o RS. O objetivo é municiar com informações os tomadores de decisão para elaborarem medidas de recuperação do setor e incentivar os apicultores.    🔍 Algumas informações do relatório:    • 21.025 colmeias de abelhas perdidas em 89 municípios  segundo dados da Federação Apícola e de Meliponicultura do Rio Grande do Sul (FARGS)  sendo 95% abelhas-africanizadas (Apis mellifera) e restante abelhas sem ferrão.  • 35% do plantel de abelhas foi perdido  sendo 27% deste perdidos imediatamente ao desastre climático e 8% posterior.   • 57% das colmeias foram perdidas por carência de floradas.  • Também foram registrados prejuízos em equipamentos e infraestruturas dos apiários  assim como dificuldades para manter as colmeias restantes devido à carência de floradas e condições climáticas adversas.    Saiba mais na reportagem da RBS TV: https://globoplay.globo.com/v/12909064/     Foto: Luiz Vicente    #Apicultura #Recuperação #RioGrandeDoSul #Enchentes #Sustentabilidade,,
,Comment,,,redeclube,414894091507280,photos,1529,32,4,2024-09-12T04:53:35-07:00,Quintou com esse squad que faz o amanhecer ser sempre mais animado! ☀️💛 Quem aí já tá no clima do final de semana com o #BomDiaPiauí? 😄✨ #QuintaFeira #JuntosNoBomDia #RedeClube #Piaui,,
,Comment,,,gruponelore,390547173721850,photos,303,2,0,2024-09-12T04:51:33-07:00,Chuvas em Outubro podem aliviar solo e pastagens com volumes de 50 mm  Previsão positiva traz esperanças de recuperação hídrica para produtores rurais após meses de seca intensa    Fábio Moitinho  Chuvas em Outubro podem aliviar solo e pastagens com volumes de 50 mm  Chuvas em Outubro podem aliviar solo e pastagens com volumes de 50 mm  O prognóstico climático apresentado pelo meteorologista Arthur Müller  do Canal Rural  prevê que as chuvas em outubro podem finalmente trazer alívio para o solo e as pastagens em diversas regiões do Brasil. As precipitações chegam em um momento crítico  oferecendo até 50 mm de chuva  o que poderá contribuir para elevar a umidade relativa do ar e ajudar na recuperação das áreas afetadas pela seca  além de impactar positivamente a safra 2024/2025. Assista ao vídeo abaixo e confira a previsão do tempo completa.    Em localidades como Itapajipe  Minas Gerais  as temperaturas extremas que chegaram a 41°C devem amenizar no início de outubro  com máximas caindo para cerca de 30°C.    As chuvas esperadas  com volumes ao redor de 50 mm  são uma luz no fim do túnel  prometendo melhorar a reposição hídrica e revitalizar as pastagens  criando condições mais favoráveis para a agricultura local.    Notícias Relacionadas    Continuação do calor no Brasil    Enquanto algumas regiões aguardam ansiosamente a chegada das chuvas  outras continuam a enfrentar temperaturas elevadas.    O Brasil Central permanece com máximas superiores a 40°C  e no interior de áreas como Matopiba  oeste do Paraná e interior de São Paulo  os termômetros também continuam marcando acima dos 36°C.    Acompanhe todas as atualizações do site do Giro do Boi! Clique aqui e siga o Giro do Boi pela plataforma Google News. Ela te avisa quando tiver um conteúdo novo no portal. Acesse lá e fique sempre atualizado sobre tudo que você precisa saber sobre pecuária de corte!  Impacto limitado das chuvas iniciais    Apesar do otimismo  Müller destaca que as chuvas iniciais não serão suficientes para garantir o pleno estabelecimento da próxima safra. Os volumes previstos inicialmente permanecem limitados  especialmente no sul do Paraná e ao longo do litoral do Nordeste.    No entanto  há esperanças de que um ciclone mais intenso na próxima semana possa trazer chuvas mais substanciais  mesmo que de forma isolada  para algumas regiões no Centro-Oeste e Sudeste.    Esta previsão marca um início promissor para a recuperação  mas agricultores e pecuaristas devem continuar atentos e planejando cuidadosamente as estratégias de uso da água e manejo de pastagens até a regularização plena do clima,,
,Comment,,,radioalegrete,384858203923421,photos,1631,6,0,2024-09-12T04:51:25-07:00,Delegados encerram protesto e voltam a conceder entrevistas no RS    Decisão foi tomada em assembleia da categoria. Asdep / Divulgação    Os delegados de polícia do Rio Grande do Sul suspenderam as medidas de protesto contra o governo Leite. Entre elas estava a decisão de não conceder entrevistas ou publicar em redes sociais informações sobre investigações e  operações da Polícia Civil.    A decisão foi tomada na noite desta terça-feira (10)  em assembleia da Associação dos Delegados de Polícia do RS (Asdep).     O presidente da entidade  Guilherme Wondracek  garante que a suspensão do voto de silêncio não está relacionada à aprovação  pela Assembleia Legislativa  do projeto de lei que criou regime de sobreaviso na corporação. Segundo ele  a categoria permanecerá mobilizada pleiteando valorização.    — Apesar da suspensão das medidas de protesto  a Asdep agora adotará outras estratégias e persistirá na busca por uma valorização digna da classe — disse Wondracek.    Os delegados consideram insuficiente o reajuste de 12 67% aprovado no final de julho  que será pago em três parcelas até 2026.    Além do voto de silêncio  a categoria também suspendeu as demais medidas de protesto  como a determinação para não se deslocar sem pagamento antecipado de diárias e a suspensão de aulas na Academia de Polícia.,,
,Comment,,,imparcial.amazona,3713988835521769,albums,0,0,0,2024-09-12T04:51:12-07:00,Protesto,,
,Comment,,,gruponelore,390547173721850,photos,124,0,0,2024-09-12T04:51:11-07:00,Chuvas em Outubro podem aliviar solo e pastagens com volumes de 50 mm  Previsão positiva traz esperanças de recuperação hídrica para produtores rurais após meses de seca intensa    Fábio Moitinho  Chuvas em Outubro podem aliviar solo e pastagens com volumes de 50 mm  Chuvas em Outubro podem aliviar solo e pastagens com volumes de 50 mm  O prognóstico climático apresentado pelo meteorologista Arthur Müller  do Canal Rural  prevê que as chuvas em outubro podem finalmente trazer alívio para o solo e as pastagens em diversas regiões do Brasil. As precipitações chegam em um momento crítico  oferecendo até 50 mm de chuva  o que poderá contribuir para elevar a umidade relativa do ar e ajudar na recuperação das áreas afetadas pela seca  além de impactar positivamente a safra 2024/2025. Assista ao vídeo abaixo e confira a previsão do tempo completa.    Em localidades como Itapajipe  Minas Gerais  as temperaturas extremas que chegaram a 41°C devem amenizar no início de outubro  com máximas caindo para cerca de 30°C.    As chuvas esperadas  com volumes ao redor de 50 mm  são uma luz no fim do túnel  prometendo melhorar a reposição hídrica e revitalizar as pastagens  criando condições mais favoráveis para a agricultura local.    Notícias Relacionadas    Continuação do calor no Brasil    Enquanto algumas regiões aguardam ansiosamente a chegada das chuvas  outras continuam a enfrentar temperaturas elevadas.    O Brasil Central permanece com máximas superiores a 40°C  e no interior de áreas como Matopiba  oeste do Paraná e interior de São Paulo  os termômetros também continuam marcando acima dos 36°C.    Acompanhe todas as atualizações do site do Giro do Boi! Clique aqui e siga o Giro do Boi pela plataforma Google News. Ela te avisa quando tiver um conteúdo novo no portal. Acesse lá e fique sempre atualizado sobre tudo que você precisa saber sobre pecuária de corte!  Impacto limitado das chuvas iniciais    Apesar do otimismo  Müller destaca que as chuvas iniciais não serão suficientes para garantir o pleno estabelecimento da próxima safra. Os volumes previstos inicialmente permanecem limitados  especialmente no sul do Paraná e ao longo do litoral do Nordeste.    No entanto  há esperanças de que um ciclone mais intenso na próxima semana possa trazer chuvas mais substanciais  mesmo que de forma isolada  para algumas regiões no Centro-Oeste e Sudeste.    Esta previsão marca um início promissor para a recuperação  mas agricultores e pecuaristas devem continuar atentos e planejando cuidadosamente as estratégias de uso da água e manejo de pastagens até a regularização plena do clima,,
,Comment,,,rcsfm,332703429453405,videos,1336,19,5,2024-09-12T04:50:12-07:00,🌞 Clima seco em São Jorge d'Oeste? Temos a solução para você! 🌬️    Nos dias de hoje  o ar seco pode causar desconforto  como irritação nos olhos e garganta  além de ressecar a pele. 😣   Para garantir mais saúde e bem-estar  umidificadores de ar são essenciais! 🌿    Aqui nas Lojas Móveis Copelli  você encontra umidificadores de qualidade com aquele preço especial que você procura! 🏷️💸 Temos duas lojas esperando por você:    📍 Av. Prefeito Adelarte Debortoli  📍 Rua Concórdia    Garanta o seu e respire melhor! 😍💨    #MóveisCopelli #TempoSeco #Umidificador #QualidadeDeVida #OfertasEspeciais #SaúdeEmCasa,,
,Comment,,,infonetsergipe,729439179151931,photos,148,0,0,2024-09-12T04:47:52-07:00,O Ministério da Educação (MEC)  por meio da Secretaria de Educação Superior ( Sesu )  abriu nesta quarta-feira  11 de setembro  o período para manifestação de interesse na lista de espera do processo seletivo para o segundo semestre de 2024 do Programa Universidade Para Todos (Prouni).    Candidatos que não foram pré-selecionados nas chamadas regulares podem participar da lista de espera   desde que optem por isso  manifestando o seu interesse até quinta-feira  12 de setembro  na página do Prouni  por meio do Portal Único de Acesso ao Ensino Superior . O resultado da lista será divulgado na próxima terça-feira  17 de setembro.    Posteriormente  o s participantes da lista de espera deverão comparecer às instituições para as quais foram pré-selecionados  no período de 17 a 26 de setembro  a fim de comprovarem as informações prestadas em sua inscrição. Além disso  os candidatos devem ficar atentos quanto à existência de eventuais exigências adicionais por parte das instituições de ensino. Todo o processo é gratuito e a s informações oficiais são divulgadas nos canais de comunicação do MEC.    Matéria completa no Portal Infonet     #PortalInfonet #NoticiasdeSergipe #Infonet #Sergipe #Aracaju,,
,Comment,,,fotobookbelgium,322077823950158,photos,980,7,18,2024-09-12T04:47:46-07:00,Em meio a uma onda de denúncias e pressão sobre as queimadas no Brasil  a ministra do Meio Ambiente  Marina Silva  defendeu a atuação de sua equipe e a importância de estar à frente da pasta  mesmo sob críticas. Silva acompanhava o presidente Luiz Inácio Lula da Silva em uma visita ao Amazonas  onde foram observadas áreas afetadas por incêndios e seca.     Durante a viagem  o presidente anunciou a criação da Autoridade Climática  uma entidade proposta por Marina Silva durante a campanha eleitoral de 2022  e que havia sido adiada por restrições orçamentárias. A nova autoridade será responsável pela gestão de riscos de tragédias climáticas.    Marina Silva respondeu a críticas sobre a eficácia das ações do governo contra as queimadas  destacando que há uma tentativa de contínua melhoria nas medidas de combate  como o aumento de recursos  equipamentos e brigadistas. Silva admite que os desafios permanecem significativos  exacerbados por uma das maiores secas em décadas na Amazônia e no Pantanal  além de temperaturas elevadas e baixa umidade.    A Autoridade Climática será um órgão de médio e longo prazo  focado em mudar a lógica da gestão de desastres para uma de gestão de riscos. Segundo a ministra  o objetivo é permitir que municípios se adaptem e se preparem para eventos climáticos  com políticas baseadas em dados e evidências.     A criação da autoridade será oficializada por meio de uma medida provisória  anunciada pelo presidente  que também incluirá o estatuto jurídico da emergência climática  transformando a resposta a desastres em uma política de estado.    O GLOBO - 📷 RICARDO STUCKERT @FBTVNEWS    #notícias #brasil #amazônia #jornal,,
,Comment,,,fotobookbelgium,322077823950158,photos,1485,10,10,2024-09-12T04:47:26-07:00,Em meio ao cenário de seca extrema e queimadas no Norte do país  dados do Copernicus  o programa de observação da Terra da União Europeia  indicam que o Sudoeste da Amazônia foi a região que mais emitiu gases de efeito estufa no planeta nos últimos cinco dias  segundo Lucas Ferrante  doutor em biologia e pesquisador da USP e da Universidade Federal do Amazonas. A conclusão é baseada no volume de aerossóis e de monóxido de carbono captado nessa área de emissão. Esses gases são associados aos que causam o efeito estufa na atmosfera  como o dióxido de carbono  que também é liberado nos incêndios.    — A região se tornou a maior emissora de gases de efeito estufa devido ao avanço do desmatamento e às queimadas — alerta Ferrante  que pesquisa os efeitos da ação humana sobre a Amazônia há mais de uma década.    Os efeitos dessa emissão  se continuarem por um longo período  terão impacto por todo o planeta  segundo a pesquisadora do Instituto de Pesquisa Ambiental da Amazônia (Ipam) Camila Silva e o professor de Economia na PUC-RS Gustavo Inácio Moraes  que estudou efeitos climáticos em sua tese de doutorado. Moraes ressalva que o cenário por enquanto é o resultado de uma temporada sazonal de queimadas  e apenas um período de muitos meses “poderia criar uma tendência mais alarmante”.    — Os gases liberados contribuem para o aquecimento global  que aumenta os níveis do mar  altera o clima. Além disso  espécies de fauna e flora desaparecem — alerta Silva.    Com mais de 82 mil focos de incêndio de 1º de janeiro a 9 de setembro deste ano  a Amazônia já alcançou o dobro de queimadas em relação ao mesmo período de 2023  e o número só não é maior do que os 85 mil pontos de fogo registrados em 2007  recorde da série histórica. O GLOBO percorreu cerca de 1 6 mil quilômetros na BR-163  que liga Santarém (PA) a Cuiabá  na BR-230 (a Transamazônica) e na Transgarimpeira (na Bacia do Tapajós) e presenciou o avanço do fogo sobre a floresta  os pastos e as casas que margeiam as rodovias.    O GLOBO - 📷 ARQUIVORP @FBTVNEWS    #notícias #brasil #amazônia #jornal,,
,Comment,,,pecuariabrasiloficial,459210299866908,videos,3156,27,16,2024-09-12T04:45:31-07:00,#Repost @brexplora with @use.repost  ・・・  Como está o ar aí da sua cidade?  #seca #clima #queimada #amazonia #umidade,,
,Comment,,,jornaloguaira,768739522011666,photos,18804,114,69,2024-09-12T04:43:55-07:00,Vander da Costa - Parabéns!!!  Seguindo os passos do pai  Luiz Carlos da Costa  Vander da Costa carrega no DNA o comprometimento com a terra  os negócios e o trabalho árduo. Sempre ao lado dos pais  ele enfrenta as adversidades do clima e do campo com determinação. Acordando cedo todos os dias  Vander acompanha o pai nas atividades e responsabilidades  demonstrando esforço e dedicação constantes.  No dia 12 de setembro  Vander celebra mais um ano de vida. Ele será abraçado pelos pais  mas os abraços mais especiais virão de sua esposa  Margarete  e das suas lindas filhas  Maria Vitória e Ana Luiza.  Desejamos muita saúde  felicidade e momentos maravilhosos ao lado de sua família e amigos. Parabéns  Vander  que seu caminho seja repleto de conquistas,,
,Comment,,,radiobandnewsfm,1451616092082579,videos,994,20,6,2024-09-12T04:43:06-07:00,Lula promete Autoridade Climática  mas texto ainda precisa passar pelo Congresso,,
