SourceShortCode,Type,SourceLink,Shortcode,Username,Profile ID,Media Type,Video View Count,Likes,Comments,Date created,Caption,URL,MatchTerm
,Comment,,,paralelo29_sm,3801380493438937,videos,2484,26,4,2024-09-16 00:57:06,QUEIMADAS: Lula sobrevoa Parque Nacional e anuncia reunião de emergência   O presidente Luiz Inácio Lula da Silva (PT) sobrevoou  neste  domingo (15)  áreas atingidas por incêndio florestal no Parque Nacional de Brasília  no Distrito Federal (DF).  Lula postou o vídeo em suas redes sociais e anunciou uma reunião de emergência com a ministra do Meio Ambiente  Marina Silva  nesta segunda-feira (16).   Ele pretende anunciar ações emergenciais para conter as queimadas que atingem várias regiões do país.  Acesse https://paralelo29.com.br,,
,Comment,,,cachoeiroaqui,1164601578319083,videos,16818,569,6,2024-09-16 00:54:30,🔥 Incêndios florestais sempre existiram  mas nunca na proporção  na incompetência e na forma criminosa dos dos de hoje.  #incendios #matas #fogo #incendio,,
,Comment,,,betawhately,968995678324585,videos,31903,1825,20,2024-09-16 00:49:29,Nossa breve mas MARAVILHOSA viagem ao Pantanal!  Nos hospedamos por uma noite no Hotel Nacional em Corumbá e foi ótimo pois pudemos conhecer a cidade  o delicioso restaurante Lavo de Ouro e atravessar a fronteira pra conhecer (bem pouquinho) da Bolívia. (Nos ADORAMOS Corumbá!).  Enfim embarcamos no Peralta  uma chalana LINDA  moderna  com uma tripulação IMPECÁVEL no atendimento e carinho! Estávamos em 20 pessoas da minha família e o que mais fizemos foi pescar. Na verdade  TODO MUNDO pescou  menos quem? Dou UMA chance pra vocês…😒 A internet não é tão boa  mas pelo menos todo dia  conseguimos acessar WhatsApp (confesso que isso me deu certo faniquito).  Foram dias incríveis e ver a alegria no olhar dos meus filhos  não teve preço. (E não teve mesmo  pois a Véia Hater da Lancha que nos convidou!😌😂)!  Enfim  sobre as queimadas  uma tristeza sem fim. Não consigo explicar o que vimos. Alias  o que não vimos  pois muitas  muitas partes do Rio Paraguai  estavam completamente tomadas por fumaça. Além do risco pra saúde é perigoso porque não enxergamos nada.  Graças a Deus conseguimos aproveitar  mas confesso que ver tudo preto  queimado  me deu muita pena.  Voltarei o quanto antes pois me apaixonei pelo Pantanal  pelos Pantaneiros e principalmente pelo brilho no olhar dos meus filhos.   #pantanal #betatur,,
,Comment,,,hariloversofc,299025929460784,videos,19027,2262,7,2024-09-16 00:49:17,parem as queimadas ‼ . . . . #mchariel #reels #viral #explore #explorar #fy #fypage #queimadas,,
,Comment,,,caceresmilgrau,1048618729966874,photos,15094,439,1,2024-09-16 00:49:09,Dor de cabeça  peito pesado  tosse de cachorro  estava demorando meu corpo sentir os efeitos dessa fumaça  que assola a cidade há semanas.,,
,Comment,,,brasileirosnojapao,371759255766525,photos,15525,191,3,2024-09-16 00:47:48,O uso de sprays inflamáveis para controle de pragas está gerando uma série de incêndios em residências no Japão. Autoridades locais estão pedindo atenção redobrada  principalmente ao utilizar esses produtos perto de fontes de calor.   ➡️Leia a matéria completa em www.brasileirosnojapao.com ou clique no link da bio.   #BrasileirosNoJapao #NoticiasJapao #Japao,https://www.instagram.com/brasileirosnojapao/p/C_9V1mTMzdt/,
,Comment,,,mmeioambiente,340639412390624,videos,65893,2311,318,2024-09-16 00:47:38,Trinta e cinco brigadistas do Instituto Chico Mendes (<redacted_mention>) e do Corpo de Bombeiros do Distrito Federal atuam neste domingo (15/9) no combate a incêndio de grande extensão no Parque Nacional de Brasília.  O presidente Luiz Inácio Lula da Silva e a primeira-dama Janja Lula da Silva sobrevoaram a região na tarde deste domingo.  O presidente do ICMBio  Mauro Pires  que acompanha as ações de combate no parque  afirma que há indícios de incêndio criminoso. Segundo ele  o fogo começou perto da Granja do Torto e rapidamente se alastrou para dentro do parque em razão do clima quente e seco.  O fogo perdeu velocidade e intensidade à noite  e está prevista a chegada de reforço nesta segunda-feira (16/9) de equipes que atuam na Chapada dos Veadeiros.  📹: Secom/PR,,
,Comment,,,avozdaregiao.jundiai,7115168858531378,videos,4831,189,15,2024-09-16 00:47:16,"VÁRZEA PAULISTA🔥 Incêndio criminoso atinge chácaras no Parque Guarani  em Várzea Paulista  Por Dircélio Timóteo   Um incêndio de grandes proporções teve início por volta das 18h00 deste domingo (15)  na Rua Tanque Velho  no Parque Guarani  em Várzea Paulista  e se espalha rapidamente por diversas chácaras da região. Luís Roberto Tartari  morador local cuja propriedade foi atingida  acredita que o fogo tenha sido criminoso.   ""É devastador ver o fogo destruir o que levamos anos para construir. Temos certeza de que foi ação intencional""  relatou Tartari.  Além dos bombeiros de Várzea Paulista  moradores e a Defesa Civil estão no local ajudando no combate às chamas. O forte vento na área está dificultando o controle do fogo  que se alastra para outras regiões próximas  aumentando o perigo para as casas e propriedades ao redor.  Fonte: RS NOTÍCIAS.",,
,Comment,,,maismsnoticias,462413782923378,photos,13968,0,4,2024-09-16 00:47:14,"A chuva preta já chegou a Mato Grosso do Sul  trazendo um fenômeno inusitado e preocupante. A cor escura das gotas ocorre devido à interação entre a fuligem das queimadas e as partículas de chuva  conforme apontado pela MetSul Meteorologia. Esse fenômeno já atingiu os estados de Santa Catarina e Rio Grande do Sul e agora atinge Mato Grosso do Sul  gerando preocupação entre os moradores.  Guilherme Borges  meteorologista da Climatempo  explica que a fuligem presente no ar é capturada pelas gotículas de água dentro da nuvem. ""Quando a chuva cai  ela traz essa sujeira  o que a torna suja e escura""  afirma Borges.  Chuva preta é tóxica ou ácida? Segundo Venisse Schossler  climatologista da Universidade Federal do Rio Grande do Sul (UFRGS)  a chuva preta é diferente da chuva ácida. A cor escura se deve apenas à fuligem das queimadas  sem a presença de ácidos formados por reações químicas nas nuvens. Embora não seja altamente tóxica  é recomendado tomar precauções após o contato com essa chuva.  ""A recomendação é simples: se você se molhar  tome banho logo em seguida e não beba a água diretamente da chuva  pois ela pode conter partículas tóxicas""  reforça Schossler. Além disso  alimentos expostos à chuva  como os de hortas  devem ser higienizados antes do consumo.  Em Mato Grosso do Sul  a chegada dessa chuva  embora atípica  também tem seu lado positivo  ajudando a limpar a atmosfera poluída pelas queimadas e melhorando a qualidade do ar.  Link da matéria completa nos stories.",,
,Comment,,,silvicleykelvy,1802920363453870,photos,6409,264,10,2024-09-16 00:46:17,"As queimadas que atingem o Brasil nos últimos dias deixaram os níveis de monóxido de carbono na atmosfera altíssimos  segundo a MetSul Meteorologia.  O gás está cobrindo principalmente o sul da região amazônica  o Centro-Oeste  em Rondônia  o Sul do país e o estado de São Paulo  incluindo o Vale do Paraíba.  Monóxido de carbono (CO) é incolor  inodoro e muito perigoso — pode levar à morte em ambientes fechados. O gás também é um dos seis principais poluentes atmosféricos.  O CO é resultado da queima incompleta de combustíveis à base de carbono  como carvão  madeira e óleo. Incêndios em vegetação são uma fonte de poluição por monóxido de carbono em outras regiões.  A substância é espalhada pelos ventos e padrões de circulação por toda a baixa atmosfera (troposfera). No entanto  a substância não tem efeito direto na temperatura global  como o metano e o dióxido de carbono  segundo o MetSul.  Por outro lado  monóxido de carbono atua na química atmosférica e afeta a capacidade da atmosfera de ""se limpar"" de outros gases poluentes. Em combinação com outros poluentes e luz solar  o gás participa da formação de ozônio atmosférico inferior (""ruim"") e da poluição urbana.  Efeitos no corpo. A substância é um dos principais agentes da fumaça que podem causar efeitos na saúde  além do material particulado (PM2.5)  que tem grande potencial inflamatório no corpo.  Inalação de monóxido de carbono diminui o suprimento de oxigênio do corpo. Isso pode causar dores de cabeça  reduzir o estado de alerta e agravar a angina (problema cardíaco). Nos pulmões  o gás pode causar irritação respiratória e falta de ar  e piora doenças preexistentes  como asma e problemas respiratórios.  Fonte: https://sampi.net.br/ovale/noticias/2856470/vale-do-paraiba/2024/09/queimadas-liberam-gas-sem-cheiro-e-letal-que-se-espalha-por-sp  #silvicleykelvy #queimadas #brasil #nasa #fuamaça #fogo #gás #gásletal #sãopaulo",,
,Comment,,,blogroberto_noticias,7337643352952775,photos,2768,0,0,2024-09-16 00:45:48,Queimadas e estiagem pode aumentar o preço dos alimentos  Após uma desaceleração nos índices de inflação de alimentos em julho e agosto  espera-se que a alta nos preços dos alimentos no domicílio retorne em setembro. A expectativa de aumento é consequência da estiagem severa e pelas queimadas que têm afetado diversas regiões do Brasil. Estes eventos climáticos têm prejudicado a vida cotidiana e a produção de itens essenciais como carne bovina  frutas e derivados do leite.  Reprodução.,https://www.instagram.com/vilela_24hsofc/p/C_9b3-yRxSw/,
,Comment,,,exclusivo24hs,740498240989270,photos,11822,246,9,2024-09-16 00:42:46,🌎A Polícia Civil investiga a morte de um homem encontrado em uma área de mata no bairro Cecap  em Limeira  no interior de São Paulo  no início da tarde do último sábado (14). Policiais militares que estiveram no local ouviram de vizinhos. O homem entrou no matagal por volta do meio-dia na intenção de apagar focos de incêndio. Ele teria sido atingido na cabeça por um galho que caiu de uma árvore. Um médico do Samu (Serviço de Atendimento Móvel de Urgência) constatou a morte no local.  — A mesma mata já havia sido atingida por um incêndio anteriormente  segundo os moradores relataram aos PMs. Uma das hipóteses é que o fogo tenha fragilizado a árvore em questão. O tempo seco e calor auxiliam a propagação de focos de incêndio por todo estado. Pouco antes das 17h30 deste sábado  a Defesa Civil disse atuar em parceria com o Corpo de Bombeiros em 12 municípios com incêndios florestais. Ao todo  17 aeronaves estão em operação. Na capital havia um foco de incêndio ativo no parque do Carmo  na zona leste. Na Grande São Paulo  a equipe atuava em Franco da Rocha. (Foto: Arquivo Pessoal) (Fonte: folha.uol.com.br) <redacted_mention>,,
,Comment,,,maismsnoticias,462413782923378,photos,11820,0,37,2024-09-16 00:37:43,O ministro Flávio Dino  do Supremo Tribunal Federal (STF)  reconheceu a crise climática causada pelas queimadas em todo o País e determinou uma série de medidas a serem adotadas pelo governo federal para conter a devastação em biomas como a Amazônia e o Cerrado. Em decisão expedida neste domingo  15  o magistrado autorizou  por exemplo  a abertura de crédito extraordinário  fora do arcabouço fiscal  para fazer frente à devastação.  A autorização de gastos fora da regra fiscal vale até o final deste ano. Os recursos extraordinários  contudo  só podem ser utilizados no combate ao fogo. Dino argumentou na decisão que a crise climática provocada pelas queimadas  que já atingem 60% do território nacional  é semelhante à tragédia provocada pelas enchentes no Rio Grande do Sul meses atrás.  “A semelhança jurídica é nítida em relação às recentes enchentes no Rio Grande do Sul  que redundaram em intensas medidas de socorro e reparação”  argumentou. “Sob a perspectiva de conflito entre valores constitucionais (Responsabilidade Fiscal e Responsabilidade Ambiental)  deve-se fazer preponderar aquele que possui o maior risco de extinguir-se irremediavelmente  qual seja  o Meio Ambiente e a Vida das populações afetadas”  prosseguiu o ministro.  Em maio  o Congresso aprovou projeto de decreto legislativo  assinado por Lula  permitindo que despesas do governo para socorro ao Rio Grande do Sul  após a crise das enchentes  fossem excluídas do limite de gastos e da meta de resultado primário.  Dino ainda autorizou o governo do presidente Luiz Inácio Lula da Silva a eliminar o intervalo de tempo previsto em lei para contratar brigadistas temporários pelo Ibama e ICMBio. Atualmente  os órgãos ambientais precisam esperar três meses para efetuar novas contratações. O interregno ficará suspenso até o final deste ano  assim como os gastos fora do arcabouço fiscal.  Link da matéria completa nos stories.,,
,Comment,,,jc_pe,1601088007089299,photos,61285,1101,203,2024-09-16 00:37:38,"A candidata à prefeitura do Recife pelo PSOL  Dani Portela  esteve na Parada da Diversidade 2024  realizada neste domingo (15)  na Avenida Boa Viagem  na Zona Sul da Capital. Acompanhada da vice Alice Gabino (Rede)  Dani defendeu políticas de igualdade para a população LGBTQIAP+.  “Há muitos anos venho reforçando a importância da população da comunidade LGBTQIAPN+ para o Recife  para o Estado e para o Brasil. Desde toda a minha atuação política  essa população sempre esteve entre as minhas prioridades”  disse a candidata.  Durante o evento  ela conversou com ativistas  apoiadores e militantes  afirmando que  caso seja eleita  dará prioridade à criação de projetos que garantam a segurança e a dignidade de todas as pessoas.  ""Além do direito à vida  precisamos lutar por condições mínimas de existência para essa população. A falta de políticas de enfrentamento às violências de raça e gênero no ambiente escolar é a principal causa para o alto índice de evasão. A saída precoce da escola colabora para que esta população não acesse uma qualificação profissional que lhe garanta condições de ingressar no mercado de trabalho e faz com que a maioria esteja em subempregos  na informalidade precária ou sobrevivendo da prostituição ou sem ocupação”  destacou.  Saiba mais em JC.COM.BR  Foto: Fran Silva/Divulgação  #EleiçõesSJCC #Eleições2024 #DaniPortela #kn",,
